Gene name,Bone_TA,Brain,Brain_female,Cerebellum_female,Embryonic_fibroblast_cells,Embryonic_stem_cells,Heart,Intestine_TA,Kidney,Liver,Lung,Muscle_TA,Ovaries,Pancreas,Skin,Spinal_cord_female,Spleen_TA,Testes
Mmu-Let-7-P1d_pri,4473.65,79377.02,32652.12,27108.54,85195.43,4312.08,14386.39,2080.19,77880.56,23624.79,94847.91,1918.49,90212.01,85375.17,73099.47,20775.64,4525.54,27226.17
Mmu-Let-7-P1b_pri,109.49,25334.93,6206.72,3579.72,29112.03,2484.74,820.16,97.67,8051.51,888.89,9048.29,94.27,23739.12,7322.24,6917.58,2935.53,141.31,2721.30
Mmu-Let-7-P1c_pri,2584.11,127674.33,39341.94,29701.57,115417.77,14013.88,20567.49,2348.82,128942.63,26027.62,146346.28,2265.65,236433.75,148331.58,152743.21,23381.32,2437.85,50268.97
Mmu-Let-7-P2c1_pri,660.94,34447.42,14604.46,11945.01,21232.79,758.33,7482.23,275.83,21387.35,9376.74,37090.32,546.83,32738.67,20108.74,14388.75,8388.29,586.59,6383.07
Mmu-Let-7-P2b1_pri,9511.14,158098.24,41725.59,33628.98,203712.04,18888.22,29766.30,4933.88,173660.75,37521.59,161446.06,6317.56,148980.71,201807.53,114530.48,28524.08,11558.18,72529.36
Mmu-Let-7-P2a1_pri,4489.59,79564.17,32668.76,27122.24,85084.29,4318.56,14494.66,2086.70,78142.74,24225.03,95132.74,1922.45,90294.25,85451.61,73254.63,20763.65,4538.93,27294.66
Mmu-Let-7-P2a2_pri,2602.91,128487.26,39451.93,29787.19,115300.20,14015.33,20819.46,2364.50,130074.63,27311.71,147596.83,2275.46,236235.61,148464.90,153216.34,23462.75,2459.03,50184.67
Mmu-Let-7-P2b2_pri,498.46,29186.29,16089.59,11361.62,29709.03,294.82,4708.97,530.70,48938.92,9567.60,43400.60,429.44,40788.29,34948.21,35116.39,7764.98,561.98,6480.54
Mmu-Let-7-P2b3_pri,570.11,525.45,2210.48,1328.54,287.32,48.30,35.66,843.40,377.13,39.21,184.81,132.20,25.42,62.04,356.29,2084.47,472.32,26.34
Mmu-Let-7-P2a3_pri,11512.44,165825.61,43817.62,35516.34,207753.13,19335.86,32744.50,5400.54,186675.39,47892.81,174785.86,7089.26,157737.64,211344.50,120351.11,29806.67,13126.83,76206.93
Mmu-Let-7-P2c3_pri,2644.50,25105.97,49520.65,55775.28,12545.46,3082.32,2498.95,1219.67,19553.73,5718.64,14047.58,992.10,13302.88,31763.31,18446.68,35208.60,4003.67,24905.29
Mmu-Let-7-P2c2_pri,5203.50,6780.02,19431.82,12230.46,17025.33,807.34,727.79,1763.17,2925.11,309.68,5777.30,1358.90,3569.84,12431.96,13543.58,11551.57,3584.94,4596.97
Mmu-Mir-1-P3_pri,137.01,6078.14,557.84,1498.36,326.62,419.53,765993.80,118.01,1246.54,134.17,23765.53,106490.14,17845.46,2362.82,203584.54,10609.99,30.83,10640.20
