hostgene_chrom,hostgene_TxStarts,hostgene_TxEnds,hostgene_cdsStart,hostgene_cdsEnd,hostgene_strand,hostgene_Name,hostgene_NCBI_ID,miR_chrom,miR_exonStarts,miR_exonEnds,miR_type,miR_name,miR_strand,gene_type,pre_mRNA_length
chr1,243256040,243500091,243256173,243499785,+,SDCCAG8,NM_006642.5,chr1,243346176,243346255,miRNA_primary_transcript,hsa-mir-4677,+,protein-coding gene,244051.0
chr1,3069202,3438621,3069259,3433811,+,PRDM16,NM_199454.3,chr1,3127975,3128035,miRNA_primary_transcript,hsa-mir-4251,+,protein-coding gene,369419.0
chr1,12567909,12596191,12568339,12580606,-,DHRS3,XM_017002809.2,chr1,12578957,12579023,miRNA_primary_transcript,hsa-mir-6730,-,protein-coding gene,28282.0
chr1,18871429,18890891,18872844,18889430,-,ALDH4A1,NM_001161504.2,chr1,18883202,18883275,miRNA_primary_transcript,hsa-mir-4695,-,protein-coding gene,19462.0
chr1,18871429,18902555,18872844,18902523,-,ALDH4A1,NM_003748.4,chr1,18897071,18897148,miRNA_primary_transcript,hsa-mir-1290,-,protein-coding gene,31126.0
chr1,20806291,21050994,20807318,21002742,-,EIF4G3,XM_047433262.1,chr1,20988314,20988432,miRNA_primary_transcript,hsa-mir-1256,-,protein-coding gene,244703.0
chr1,23019467,23083689,23019596,23083364,+,KDM1A,NM_015013.4,chr1,23044305,23044372,miRNA_primary_transcript,hsa-mir-3115,+,protein-coding gene,64222.0
chr1,34457858,34685319,34685319,34685319,-,LOC105378641,XR_001737964.2,chr1,34669599,34669694,miRNA_primary_transcript,hsa-mir-552,-,non-coding gene,227461.0
chr1,61742479,61871306,61762892,61871261,+,PATJ,XM_011540470.3,chr1,61846075,61846176,miRNA_primary_transcript,hsa-mir-12132,+,protein-coding gene,128827.0
chr1,61742479,62108520,61762892,62108446,+,PATJ,XM_047424321.1,chr1,62078786,62078859,miRNA_primary_transcript,hsa-mir-3116-1,+,protein-coding gene,366041.0
chr1,64833228,65067746,64834561,64886264,-,JAK1,NM_001321853.2,chr1,65057755,65057842,miRNA_primary_transcript,hsa-mir-3671,-,protein-coding gene,234518.0
chr1,64833228,65067746,64834561,64886264,-,JAK1,NM_001321853.2,chr1,65058434,65058508,miRNA_primary_transcript,hsa-mir-101-1,-,protein-coding gene,234518.0
chr1,68098458,68232523,68098631,68232299,-,WLS,XM_011542191.3,chr1,68183518,68183610,miRNA_primary_transcript,hsa-mir-1262,-,protein-coding gene,134065.0
chr1,153992689,154155073,153992834,154155044,-,NUP210L,NM_207308.3,chr1,154104521,154104592,miRNA_primary_transcript,hsa-mir-5698,-,protein-coding gene,162384.0
chr1,180269652,180502577,180288362,180502266,-,ACBD6,XM_047432084.1,chr1,180438314,180438390,miRNA_primary_transcript,hsa-mir-3121,-,protein-coding gene,232925.0
chr1,224385145,224434797,224389834,224434405,-,WDR26,NM_001379403.1,chr1,224398227,224398311,miRNA_primary_transcript,hsa-mir-4742,-,protein-coding gene,49652.0
chr1,3487950,3611508,3490527,3611268,-,MEGF6,NM_001409.4,chr1,3560695,3560790,miRNA_primary_transcript,hsa-mir-551a,-,protein-coding gene,123558.0
chr1,9942922,9981766,9972073,9981299,+,NMNAT1,XM_047428077.1,chr1,9967381,9967458,miRNA_primary_transcript,hsa-mir-5697,+,protein-coding gene,38844.0
chr1,12166990,12209220,12167091,12207020,+,TNFRSF1B,NM_001066.3,chr1,12191713,12191773,miRNA_primary_transcript,hsa-mir-4632,+,protein-coding gene,42230.0
chr1,22710837,22921500,22710982,22913570,+,EPHB2,XM_047449104.1,chr1,22719517,22719598,miRNA_primary_transcript,hsa-mir-4684,+,protein-coding gene,210663.0
chr1,24899510,24930276,24902121,24929868,-,RUNX3,NM_004350.3,chr1,24919345,24919416,miRNA_primary_transcript,hsa-mir-6731,-,protein-coding gene,30766.0
chr1,40691703,40771603,40738843,40770828,+,NFYC,NM_001142589.2,chr1,40754355,40754446,miRNA_primary_transcript,hsa-mir-30e,+,protein-coding gene,79900.0
chr1,40691703,40771603,40738843,40770828,+,NFYC,NM_001142589.2,chr1,40757284,40757372,miRNA_primary_transcript,hsa-mir-30c-1,+,protein-coding gene,79900.0
chr1,43707535,43899727,43736262,43899521,+,ST3GAL3,XM_047428280.1,chr1,43838622,43838683,miRNA_primary_transcript,hsa-mir-6079,+,protein-coding gene,192192.0
chr1,44404782,44651724,44412097,44650775,+,RNF220,XM_047424269.1,chr1,44545493,44545552,miRNA_primary_transcript,hsa-mir-5584,+,protein-coding gene,246942.0
chr1,64470128,64693053,64550633,64691561,+,CACHD1,XM_047426234.1,chr1,64579847,64579923,miRNA_primary_transcript,hsa-mir-4794,+,protein-coding gene,222925.0
chr1,66533360,66751139,66534358,66743095,+,SGIP1,XM_047432059.1,chr1,66628440,66628517,miRNA_primary_transcript,hsa-mir-3117,+,protein-coding gene,217779.0
chr1,76867479,77067546,76867675,77063013,+,ST6GALNAC5,NM_001320274.2,chr1,77060143,77060202,miRNA_primary_transcript,hsa-mir-7156,+,protein-coding gene,200067.0
chr1,86346836,86383089,86348749,86383080,-,ODF2L,NM_001395529.1,chr1,86357632,86357687,miRNA_primary_transcript,hsa-mir-7856,-,protein-coding gene,36253.0
chr1,100266215,100292769,100266375,100291504,+,RTCA,NM_003729.4,chr1,100281241,100281308,miRNA_primary_transcript,hsa-mir-553,+,protein-coding gene,26554.0
chr1,155946853,155978175,155947941,155969282,-,ARHGEF2,NM_001350111.2,chr1,155951273,155951336,miRNA_primary_transcript,hsa-mir-6738,-,protein-coding gene,31322.0
chr1,156934839,157043059,156935999,156980475,-,ARHGEF11,XM_011510187.4,chr1,156936131,156936244,miRNA_primary_transcript,hsa-mir-765,-,protein-coding gene,108220.0
chr1,162069690,162370475,162070177,162367467,+,NOS1AP,NM_001164757.2,chr1,162157107,162157182,miRNA_primary_transcript,hsa-mir-4654,+,protein-coding gene,300785.0
chr1,162069690,162370475,162070177,162367467,+,NOS1AP,NM_001164757.2,chr1,162342546,162342640,miRNA_primary_transcript,hsa-mir-556,+,protein-coding gene,300785.0
chr1,166055917,166167001,166060608,166166248,-,FAM78B,NM_001320302.2,chr1,166154743,166154798,miRNA_primary_transcript,hsa-mir-921,-,protein-coding gene,111084.0
chr1,167863575,168075836,167987497,168075435,+,DCAF6,XM_047425194.1,chr1,167998660,167998726,miRNA_primary_transcript,hsa-mir-1255b-2,+,protein-coding gene,212261.0
chr1,176857320,177164712,176857610,177164676,-,ASTN1,XM_017001341.3,chr1,177029363,177029445,miRNA_primary_transcript,hsa-mir-488,-,protein-coding gene,307392.0
chr1,193122030,193254815,193122200,193250712,+,CDC73,NM_024529.5,chr1,193136503,193136583,miRNA_primary_transcript,hsa-mir-1278,+,protein-coding gene,132785.0
chr1,196225778,196608440,196228223,196608309,-,KCNT2,XM_006711294.4,chr1,196582413,196582481,miRNA_primary_transcript,hsa-mir-4735,-,protein-coding gene,382662.0
chr1,198808002,198937429,198937429,198937429,-,MIR181A1HG,NR_040073.1,chr1,198858873,198858982,miRNA_primary_transcript,hsa-mir-181b-1,-,non-coding gene,129427.0
chr1,198808002,198937429,198937429,198937429,-,MIR181A1HG,NR_040073.1,chr1,198859044,198859153,miRNA_primary_transcript,hsa-mir-181a-1,-,non-coding gene,129427.0
chr1,201539126,201826969,201622884,201819932,+,NAV1,NM_001389616.1,chr1,201719508,201719627,miRNA_primary_transcript,hsa-mir-5191,+,protein-coding gene,287843.0
chr1,201539126,201826969,201622884,201819932,+,NAV1,NM_001389616.1,chr1,201808611,201808702,miRNA_primary_transcript,hsa-mir-1231,+,protein-coding gene,287843.0
chr1,201829156,201884291,201829209,201876054,+,IPO9,NM_018085.5,chr1,201863373,201863447,miRNA_primary_transcript,hsa-mir-6739,+,protein-coding gene,55135.0
chr1,205381377,205449966,205381734,205420536,-,LEMD1,XM_047434586.1,chr1,205448302,205448398,miRNA_primary_transcript,hsa-mir-135b,-,protein-coding gene,68589.0
chr1,212035747,212105013,212066881,212102940,+,DTL,NM_001286229.2,chr1,212077613,212077685,miRNA_primary_transcript,hsa-mir-3122,+,protein-coding gene,69266.0
chr1,224227344,224317786,224227625,224308251,-,NVL,XM_047421613.1,chr1,224257040,224257110,miRNA_primary_transcript,hsa-mir-320b-2,-,protein-coding gene,90442.0
chr1,227918655,227944221,227921517,227925404,-,WNT9A,XM_011544271.3,chr1,227941590,227941683,miRNA_primary_transcript,hsa-mir-5008,-,protein-coding gene,25566.0
chr1,233904675,234324511,233905077,234323243,+,SLC35F3,NM_173508.4,chr1,234306467,234306539,miRNA_primary_transcript,hsa-mir-4671,+,protein-coding gene,419836.0
chr1,235166901,235327487,235168524,235326919,-,ARID4B,NM_001206794.2,chr1,235190034,235190116,miRNA_primary_transcript,hsa-mir-4753,-,protein-coding gene,160586.0
