chrom	exonStarts	exonEnds	cdsStart	cdsEnd	strand	exon_count	txStart	txEnd	mature_mRNA_Length	Name	ID
chr1	17368	17436	17436	17436	-	1	17368	17436	68	MIR6859-1	NR_106918.1
chr1	30365	30503	30503	30503	+	1	30365	30503	138	MIR1302-2	NR_036051.1
chr1	187890	187958	187958	187958	-	1	187890	187958	68	MIR6859-2	NR_107062.1
chr1	632614	632685	632685	632685	-	1	632614	632685	71	MIR12136	NR_162149.1
chr1	1167103	1167198	1167198	1167198	+	1	1167103	1167198	95	MIR200B	NR_029639.1
chr1	1167862	1167952	1167952	1167952	+	1	1167862	1167952	90	MIR200A	NR_029834.1
chr1	1169004	1169087	1169087	1169087	+	1	1169004	1169087	83	MIR429	NR_029957.1
chr1	1296109	1296170	1296170	1296170	-	1	1296109	1296170	61	MIR6726	NR_106784.1
chr1	1312501	1312566	1312566	1312566	-	1	1312501	1312566	65	MIR6727	NR_106785.1
chr1	1339649	1339708	1339708	1339708	-	1	1339649	1339708	59	MIR6808	NR_106866.1
chr1	3127974	3128035	3128035	3128035	+	1	3127974	3128035	61	MIR4251	NR_036215.1
chr1	3560694	3560790	3560790	3560790	-	1	3560694	3560790	96	MIR551A	NR_030277.1
chr1	5862671	5862741	5862741	5862741	-	1	5862671	5862741	70	MIR4689	NR_039838.1
chr1	6429833	6429896	6429896	6429896	-	1	6429833	6429896	63	MIR4252	NR_036218.1
chr1	8866501	8866590	8866590	8866590	-	1	8866501	8866590	89	MIR6728	NR_106786.1
chr1	9151667	9151777	9151777	9151777	-	1	9151667	9151777	110	MIR34A	NR_029610.1
chr1	9967380	9967458	9967458	9967458	+	1	9967380	9967458	78	MIR5697	NR_049882.1
chr1	12029157	12029222	12029222	12029222	+	1	12029157	12029222	65	MIR6729	NR_106787.1
chr1	12166942	12167038	12167038	12167038	+	1	12166942	12167038	96	MIR7846	NR_107000.1
chr1	12191712	12191773	12191773	12191773	+	1	12191712	12191773	61	MIR4632	NR_039775.2
chr1	12578956	12579023	12579023	12579023	-	1	12578956	12579023	67	MIR6730	NR_106788.2
chr1	16858948	16859021	16859021	16859021	-	1	16858948	16859021	73	MIR3675	NR_037446.1
chr1	17277888	17277975	17277975	17277975	+	1	17277888	17277975	87	MIR3972	NR_039768.1
chr1	18883201	18883275	18883275	18883275	-	1	18883201	18883275	74	MIR4695	NR_039844.2
chr1	18897070	18897148	18897148	18897148	-	1	18897070	18897148	78	MIR1290	NR_031622.1
chr1	20633678	20633788	20633788	20633788	+	1	20633678	20633788	110	MIR6084	NR_106732.1
chr1	20988313	20988432	20988432	20988432	-	1	20988313	20988432	119	MIR1256	NR_031657.1
chr1	22266238	22266300	22266300	22266300	+	1	22266238	22266300	62	MIR4418	NR_039613.1
chr1	22633257	22633366	22633366	22633366	-	1	22633257	22633366	109	MIR6127	NR_106742.1
chr1	22719516	22719598	22719598	22719598	+	1	22719516	22719598	82	MIR4684	NR_039832.1
chr1	22863158	22863226	22863226	22863226	-	1	22863158	22863226	68	MIR4253	NR_036214.1
chr1	23044304	23044372	23044372	23044372	+	1	23044304	23044372	68	MIR3115	NR_036057.1
chr1	23929069	23929147	23929147	23929147	+	1	23929069	23929147	78	MIR378F	NR_039615.1
chr1	24919344	24919416	24919416	24919416	-	1	24919344	24919416	72	MIR6731	NR_106789.1
chr1	25023502	25023586	25023586	25023586	+	1	25023502	25023586	84	MIR4425	NR_039623.1
chr1	25906361	25906454	25906454	25906454	-	1	25906361	25906454	93	MIR3917	NR_037481.1
chr1	26554541	26554593	26554593	26554593	+	1	26554541	26554593	52	MIR1976	NR_031740.1
chr1	30739155	30739232	30739232	30739232	-	1	30739155	30739232	77	MIR4420	NR_039616.1
chr1	31758659	31758735	31758735	31758735	-	1	31758659	31758735	76	MIR4254	NR_036216.1
chr1	32086948	32087007	32087007	32087007	+	1	32086948	32087007	59	MIR5585	NR_049850.1
chr1	33332392	33332492	33332492	33332492	-	1	33332392	33332492	100	MIR3605	NR_037400.1
chr1	34669598	34669694	34669694	34669694	-	1	34669598	34669694	96	MIR552	NR_030278.1
chr1	37161562	37161634	37161634	37161634	+	1	37161562	37161634	72	MIR4255	NR_036217.1
chr1	37480229	37480289	37480289	37480289	+	1	37480229	37480289	60	MIR6732	NR_106790.1
chr1	37500934	37500994	37500994	37500994	-	1	37500934	37500994	60	MIR5581	NR_049844.1
chr1	38089230	38089329	38089329	38089329	+	1	38089230	38089329	99	MIR3659	NR_037432.1
chr1	40754354	40754446	40754446	40754446	+	1	40754354	40754446	92	MIR30E	NR_029846.1
chr1	40757283	40757372	40757372	40757372	+	1	40757283	40757372	89	MIR30C1	NR_029833.1
chr1	43171651	43171712	43171712	43171712	-	1	43171651	43171712	61	MIR6733	NR_106791.1
chr1	43364647	43364715	43364715	43364715	-	1	43364647	43364715	68	MIR6734	NR_106792.1
chr1	43448538	43448611	43448611	43448611	+	1	43448538	43448611	73	MIR6735	NR_106793.1
chr1	43838621	43838683	43838683	43838683	+	1	43838621	43838683	62	MIR6079	NR_106727.1
chr1	44545492	44545552	44545552	44545552	+	1	44545492	44545552	60	MIR5584	NR_049849.1
chr1	51059836	51059905	51059905	51059905	+	1	51059836	51059905	69	MIR4421	NR_039617.1
chr1	51060017	51060103	51060103	51060103	+	1	51060017	51060103	86	MIR6500	NR_106754.1
chr1	51836343	51836402	51836402	51836402	-	1	51836343	51836402	59	MIR761	NR_031580.1
chr1	54054078	54054154	54054154	54054154	+	1	54054078	54054154	76	MIR4781	NR_039942.1
chr1	55225640	55225723	55225723	55225723	+	1	55225640	55225723	83	MIR4422	NR_039618.1
chr1	59733226	59733296	59733296	59733296	-	1	59733226	59733296	70	MIR4711	NR_039861.1
chr1	61846074	61846176	61846176	61846176	+	1	61846074	61846176	102	MIR12132	NR_162146.1
chr1	62078785	62078859	62078859	62078859	+	1	62078785	62078859	74	MIR3116-1	NR_036058.1
chr1	62078788	62078856	62078856	62078856	-	1	62078788	62078856	68	MIR3116-2	NR_036059.1
chr1	63326924	63326984	63326984	63326984	-	1	63326924	63326984	60	MIR6068	NR_106716.1
chr1	64579846	64579923	64579923	64579923	+	1	64579846	64579923	77	MIR4794	NR_039957.1
chr1	65057754	65057842	65057842	65057842	-	1	65057754	65057842	88	MIR3671	NR_037443.1
chr1	65058433	65058508	65058508	65058508	-	1	65058433	65058508	75	MIR101-1	NR_029516.1
chr1	66628439	66628517	66628517	66628517	+	1	66628439	66628517	78	MIR3117	NR_036060.1
chr1	68183517	68183610	68183610	68183610	-	1	68183517	68183610	93	MIR1262	NR_031664.1
chr1	71067630	71067716	71067716	71067716	-	1	71067630	71067716	86	MIR186	NR_029707.1
chr1	77060142	77060202	77060202	77060202	+	1	77060142	77060202	60	MIR7156	NR_106978.1
chr1	85133793	85133873	85133873	85133873	+	1	85133793	85133873	80	MIR4423	NR_039619.1
chr1	86357631	86357687	86357687	86357687	-	1	86357631	86357687	56	MIR7856	NR_107010.1
chr1	93846831	93846911	93846911	93846911	+	1	93846831	93846911	80	MIR760	NR_030621.1
chr1	94543701	94543779	94543779	94543779	+	1	94543701	94543779	78	MIR12133	NR_162147.1
chr1	94745859	94745900	94745900	94745900	-	1	94745859	94745900	41	MIR378G	NR_039620.1
chr1	98045241	98045351	98045351	98045351	-	1	98045241	98045351	110	MIR2682	NR_039604.1
chr1	98046069	98046171	98046171	98046171	-	1	98046069	98046171	102	MIR137	NR_029679.1
chr1	100281240	100281308	100281308	100281308	+	1	100281240	100281308	68	MIR553	NR_030279.1
chr1	107897222	107897304	107897304	107897304	+	1	107897222	107897304	82	MIR7852	NR_107006.1
chr1	109598892	109598967	109598967	109598967	+	1	109598892	109598967	75	MIR197	NR_029583.1
chr1	112461769	112461833	112461833	112461833	-	1	112461769	112461833	64	MIR4256	NR_036210.1
chr1	112882049	112882129	112882129	112882129	+	1	112882049	112882129	80	MIR11399	NR_162120.1
chr1	116560023	116560111	116560111	116560111	-	1	116560023	116560111	88	MIR548AC	NR_039621.1
chr1	116671745	116671817	116671817	116671817	+	1	116671745	116671817	72	MIR320B1	NR_031564.2
chr1	117094642	117094728	117094728	117094728	+	1	117094642	117094728	86	MIR942	NR_030640.1
chr1	145850586	145850645	145850645	145850645	-	1	145850586	145850645	59	MIR6736	NR_106794.1
chr1	148334478	148334554	148334554	148334554	-	1	148334478	148334554	76	MIR5087	NR_049810.1
chr1	148388281	148388363	148388363	148388363	+	1	148388281	148388363	82	MIR6077	NR_106967.1
chr1	150492344	150492410	150492410	150492410	+	1	150492344	150492410	66	MIR6878	NR_106938.1
chr1	150551928	150552014	150552014	150552014	+	1	150551928	150552014	86	MIR4257	NR_036211.1
chr1	151545795	151545891	151545891	151545891	+	1	151545795	151545891	96	MIR554	NR_030280.1
chr1	153689704	153689793	153689793	153689793	-	1	153689704	153689793	89	MIR8083	NR_107050.1
chr1	153962350	153962420	153962420	153962420	-	1	153962350	153962420	70	MIR6737	NR_106795.1
chr1	154104520	154104592	154104592	154104592	-	1	154104520	154104592	72	MIR5698	NR_049883.1
chr1	154193664	154193743	154193743	154193743	-	1	154193664	154193743	79	MIR190B	NR_030600.1
chr1	154975692	154975783	154975783	154975783	+	1	154975692	154975783	91	MIR4258	NR_036212.1
chr1	155195176	155195272	155195272	155195272	+	1	155195176	155195272	96	MIR92B	NR_030281.1
chr1	155346349	155346445	155346445	155346445	-	1	155346349	155346445	96	MIR555	NR_030282.1
chr1	155951272	155951336	155951336	155951336	-	1	155951272	155951336	64	MIR6738	NR_106796.1
chr1	156420340	156420429	156420429	156420429	-	1	156420340	156420429	89	MIR9-1	NR_029691.1
chr1	156936130	156936244	156936244	156936244	-	1	156936130	156936244	114	MIR765	NR_030527.1
chr1	159899978	159900079	159900079	159900079	-	1	159899978	159900079	101	MIR4259	NR_130464.1
chr1	161227185	161227261	161227261	161227261	+	1	161227185	161227261	76	MIR5187	NR_049819.1
chr1	162157106	162157182	162157182	162157182	+	1	162157106	162157182	76	MIR4654	NR_039798.1
chr1	162342545	162342640	162342640	162342640	+	1	162342545	162342640	95	MIR556	NR_030283.1
chr1	165907920	165907976	165907976	165907976	+	1	165907920	165907976	56	MIR3658	NR_037431.1
chr1	166154742	166154798	166154798	166154798	-	1	166154742	166154798	56	MIR921	NR_030626.1
chr1	167998659	167998726	167998726	167998726	+	1	167998659	167998726	67	MIR1255B2	NR_031702.1
chr1	168375523	168375621	168375621	168375621	+	1	168375523	168375621	98	MIR557	NR_030284.1
