© 2000-2024 QIAGEN. All rights reserved.

Symbol	Entrez Gene Name	RefSeq/Gene Symbol - mouse (Entrez Gene)	Location	Type(s)	Biomarker Application(s)	Drug(s)	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
ACHE	acetylcholinesterase (Cartwright blood group)	Ache	Plasma Membrane	enzyme		2,3 butanedione monoxime,acetylcholinesterase inhibitor,ambenonium,atropine/edrophonium,atropine/neostigmine,atropine/pralidoxime,budesonide/formoterol/glycopyrrolate,BW 284 C 51,caracemide,corticosteroid/glycopyrrolate,demecarium,donepezil,donepezil/mefloquine,donepezil/memantine,donepezil/solifenacin,echothiophate,edrophonium,formoterol/glycopyrrolate,galanthamine,gallamine triethiodide,glycopyrrolate,glycopyrrolate/indacaterol,glycopyrrolate/indacaterol/mometasone furoate,huperzine A,isoflurophate,ladostigil,neostigmine,physostigmine,pralidoxime,pyridostigmine,quinidine,rivastigmine,tacrine,terestigmine,thiamine,ZT-1	43	11423	83817
AKT1S1	AKT1 substrate 1	NM_001290694.1	Cytoplasm	other	efficacy		84335	67605	292887
ALG10	ALG10 alpha-1,2-glucosyltransferase	NM_001033441.3	Cytoplasm	enzyme			84920	380959	245960
AOPEP	aminopeptidase O (putative)	NM_001289926.1	Cytoplasm	peptidase			84909	72061	290963
ARGLU1	arginine and glutamate rich 1	NM_176849.3	Other	other			55082	234023	290912
ARMCX5	armadillo repeat containing X-linked 5	NM_001009575.5	Other	other			64860	494468	102552920
C15orf48	chromosome 15 open reading frame 48	NM_001004174.2	Nucleus	other			84419	433470	302884
CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	NM_133190.3	Plasma Membrane	ion channel			59283	81905	140729
CDK12	cyclin dependent kinase 12	XM_006534108.4	Nucleus	kinase		Cdk12-IN-3,SR4835,THZ531	51755	69131	192350
CERCAM	cerebral endothelial cell adhesion molecule	XM_006498476.4	Other	other			51148	99151	296616
CHPF2	chondroitin polymerizing factor 2	NM_133913.2	Cytoplasm	enzyme			54480	100910	296733
