hostgene_chrom,hostgene_TxStarts,hostgene_TxEnds,hostgene_cdsStart,hostgene_cdsEnd,hostgene_strand,hostgene_Name,hostgene_NCBI_ID,miR_chrom,miR_exonStarts,miR_exonEnds,miR_type,miR_name,miR_strand
chr1,160219173,160792925,160224215,160740889,-,Rabgap1l,XM_006496877.3,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160219173,160792972,160224215,160740889,-,Rabgap1l,XM_006496876.2,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160219173,160792987,160224215,160739052,-,Rabgap1l,XM_006496878.4,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160219173,160793476,160224215,160740889,-,Rabgap1l,XM_006496875.1,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160256571,160792938,160257251,160740889,-,Rabgap1l,NM_013862.5,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,33907887,34308652,33908271,34307592,+,Dst,XM_006495682.3,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907887,34308652,33908271,34307592,+,Dst,XM_006495691.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907887,34308652,33908271,34307592,+,Dst,XM_006495690.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907887,34308652,33908271,34307592,+,Dst,XM_006495666.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308375,33908271,34307592,+,Dst,XM_017314689.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314811.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314794.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314722.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314706.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314665.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_030246500.1,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314635.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314687.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314651.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314676.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33907932,34308652,33908271,34307592,+,Dst,XM_017314621.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,33908224,34308662,33908271,34307592,+,Dst,NM_001276764.1,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34005692,34308656,34006005,34307592,+,Dst,XM_006495674.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34005692,34308656,34006005,34307592,+,Dst,XM_017314716.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34005693,34308656,34006005,34307592,+,Dst,XM_017314712.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34010943,34308652,34011824,34307592,+,Dst,XM_017314868.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34010943,34308652,34011824,34307592,+,Dst,XM_006495684.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34010943,34308652,34011824,34307592,+,Dst,XM_017314848.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34010943,34308652,34011824,34307592,+,Dst,XM_006495688.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34010943,34308652,34011824,34307592,+,Dst,XM_006495678.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34010943,34308652,34011824,34307592,+,Dst,XM_017314741.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34011594,34308656,34011824,34307592,+,Dst,NM_133833.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34011594,34308656,34011824,34307592,+,Dst,NM_134448.4,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34077138,34308656,34077302,34307592,+,Dst,XM_017314750.2,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,34088627,34308656,34116135,34307592,+,Dst,XM_006495679.3,chr1,34117359,34117431,miRNA_primary_transcript,mmu-mir-6896,+
chr1,36140027,36244302,36144225,36244127,-,Uggt1,NM_198899.2,chr1,36144252,36144313,miRNA_primary_transcript,mmu-mir-6897,-
chr1,36140027,36244320,36144225,36244127,-,Uggt1,XM_006496062.4,chr1,36144252,36144313,miRNA_primary_transcript,mmu-mir-6897,-
chr1,64029447,64121504,64035712,64121001,-,Klf7,XM_006496351.3,chr1,64042438,64042501,miRNA_primary_transcript,mmu-mir-6899,-
chr1,64029447,64121664,64035712,64121001,-,Klf7,XM_006496354.4,chr1,64042438,64042501,miRNA_primary_transcript,mmu-mir-6899,-
chr1,64029447,64122318,64035712,64121001,-,Klf7,XM_006496352.4,chr1,64042438,64042501,miRNA_primary_transcript,mmu-mir-6899,-
chr1,64029447,64122339,64035712,64121001,-,Klf7,XM_006496353.3,chr1,64042438,64042501,miRNA_primary_transcript,mmu-mir-6899,-
chr1,64029447,64122344,64035712,64121001,-,Klf7,XM_030243770.1,chr1,64042438,64042501,miRNA_primary_transcript,mmu-mir-6899,-
chr1,64029447,64122345,64035712,64121001,-,Klf7,XM_030243769.1,chr1,64042438,64042501,miRNA_primary_transcript,mmu-mir-6899,-
chr1,64035662,64121389,64035712,64121001,-,Klf7,NM_033563.2,chr1,64042438,64042501,miRNA_primary_transcript,mmu-mir-6899,-
chr1,73618380,73864466,73864466,73864466,-,6030407O03Rik,NR_045311.1,chr1,73855477,73855575,miRNA_primary_transcript,mmu-mir-6351,-
chr1,77367181,77515102,77373732,77514946,-,Epha4,XM_006496408.2,chr1,77496653,77496768,miRNA_primary_transcript,mmu-mir-6352,-
