miR_chrom,miR_exonStarts,miR_exonEnds,miR_type,miR_Name,miR_strand,miR_ID,type
chr1,23272269,23272339,miRNA_primary_transcript,Name=mmu-mir-30a,+,Alias=MI0000144,no host mRNA miR
chr1,23291701,23291784,miRNA_primary_transcript,Name=mmu-mir-30c-2,+,Alias=MI0000548,no host mRNA miR
chr1,29421488,29421612,miRNA_primary_transcript,Name=mmu-mir-6342,+,Alias=MI0021870,no host mRNA miR
chr1,34433121,34433199,miRNA_primary_transcript,Name=mmu-mir-5103,-,Alias=MI0018011,no host mRNA miR
chr1,39186896,39186992,miRNA_primary_transcript,Name=mmu-mir-6349,-,Alias=MI0021877,no host mRNA miR
chr1,47467021,47467125,miRNA_primary_transcript,Name=mmu-mir-6350,-,Alias=MI0021878,no host mRNA miR
chr1,74206554,74206620,miRNA_primary_transcript,Name=mmu-mir-1928,-,Alias=MI0009917,no host mRNA miR
chr1,74900658,74900721,miRNA_primary_transcript,Name=mmu-mir-375,-,Alias=MI0000792,no host mRNA miR
chr1,76509560,76509643,miRNA_primary_transcript,Name=mmu-mir-6343,+,Alias=MI0021871,no host mRNA miR
chr1,82131916,82132019,miRNA_primary_transcript,Name=mmu-mir-6344,+,Alias=MI0021872,no host mRNA miR
chr1,85751948,85752074,miRNA_primary_transcript,Name=mmu-mir-8096,+,Alias=MI0026024,no host mRNA miR
chr1,137966455,137966541,miRNA_primary_transcript,Name=mmu-mir-181a-1,+,Alias=MI0000697,no host mRNA miR
chr1,137966639,137966718,miRNA_primary_transcript,Name=mmu-mir-181b-1,+,Alias=MI0000723,no host mRNA miR
chr1,167290125,167290225,miRNA_primary_transcript,Name=mmu-mir-6347,+,Alias=MI0021875,no host mRNA miR
chr1,169018974,169019089,miRNA_primary_transcript,Name=mmu-mir-6354,-,Alias=MI0021882,no host mRNA miR
chr1,194822001,194822064,miRNA_primary_transcript,Name=mmu-mir-3962,+,Alias=MI0016967,no host mRNA miR
chr10,20297581,20297688,miRNA_primary_transcript,Name=mmu-mir-6413,-,Alias=MI0021950,no host mRNA miR
chr10,60923023,60923113,miRNA_primary_transcript,Name=mmu-mir-6408,+,Alias=MI0021945,no host mRNA miR
chr10,60960723,60960844,miRNA_primary_transcript,Name=mmu-mir-466j,+,Alias=MI0006295,no host mRNA miR
chr10,78434799,78434902,miRNA_primary_transcript,Name=mmu-mir-6410,+,Alias=MI0021947,no host mRNA miR
chr10,81104614,81104673,miRNA_primary_transcript,Name=mmu-mir-5615-1,-,Alias=MI0019181,no host mRNA miR
chr10,81104616,81104675,miRNA_primary_transcript,Name=mmu-mir-5615-2,+,Alias=MI0019182,no host mRNA miR
chr10,92072086,92072185,miRNA_primary_transcript,Name=mmu-mir-135a-2,-,Alias=MI0000715,no host mRNA miR
chr10,93433107,93433162,miRNA_primary_transcript,Name=mmu-mir-7688,+,Alias=MI0025041,no host mRNA miR
chr10,104287269,104287376,miRNA_primary_transcript,Name=mmu-mir-6411,+,Alias=MI0021948,no host mRNA miR
chr10,122985640,122985724,miRNA_primary_transcript,Name=mmu-let-7i,-,Alias=MI0000138,no host mRNA miR
chr10,126710282,126710391,miRNA_primary_transcript,Name=mmu-mir-378d,-,Alias=MI0021951,no host mRNA miR
chr10,128458680,128458768,miRNA_primary_transcript,Name=mmu-mir-8105,+,Alias=MI0026035,no host mRNA miR
chr11,43374397,43374461,miRNA_primary_transcript,Name=mmu-mir-146a,-,Alias=MI0000170,no host mRNA miR
chr11,52126746,52126836,miRNA_primary_transcript,Name=mmu-mir-3061,+,Alias=MI0014023,no host mRNA miR
chr11,53763597,53763654,miRNA_primary_transcript,Name=mmu-mir-7671,-,Alias=MI0025011,no host mRNA miR
chr11,55501226,55501281,miRNA_primary_transcript,Name=mmu-mir-7652,+,Alias=MI0024992,no host mRNA miR
chr11,69663043,69663125,miRNA_primary_transcript,Name=mmu-mir-1934,+,Alias=MI0009923,no host mRNA miR
chr11,70234692,70234816,miRNA_primary_transcript,Name=mmu-mir-497b,-,Alias=MI0026030,no host mRNA miR
chr11,70234717,70234800,miRNA_primary_transcript,Name=mmu-mir-497a,+,Alias=MI0004636,no host mRNA miR
chr11,70235042,70235135,miRNA_primary_transcript,Name=mmu-mir-195a,+,Alias=MI0000237,no host mRNA miR
chr11,72388756,72388864,miRNA_primary_transcript,Name=mmu-mir-6338,+,Alias=MI0021866,no host mRNA miR
chr11,75173388,75173478,miRNA_primary_transcript,Name=mmu-mir-212,+,Alias=MI0000696,no host mRNA miR
chr11,75173682,75173747,miRNA_primary_transcript,Name=mmu-mir-132,+,Alias=MI0000158,no host mRNA miR
chr11,78073005,78073070,miRNA_primary_transcript,Name=mmu-mir-144,+,Alias=MI0000168,no host mRNA miR
chr11,78073170,78073241,miRNA_primary_transcript,Name=mmu-mir-451b,-,Alias=MI0021960,no host mRNA miR
chr11,78073170,78073241,miRNA_primary_transcript,Name=mmu-mir-451a,+,Alias=MI0001730,no host mRNA miR
chr11,79711969,79712034,miRNA_primary_transcript,Name=mmu-mir-193a,+,Alias=MI0000235,no host mRNA miR
chr11,79726400,79726511,miRNA_primary_transcript,Name=mmu-mir-365-2,+,Alias=MI0001645,no host mRNA miR
chr11,87756841,87756955,miRNA_primary_transcript,Name=mmu-mir-142b,-,Alias=MI0026028,no host mRNA miR
chr11,87756864,87756927,miRNA_primary_transcript,Name=mmu-mir-142a,+,Alias=MI0000167,no host mRNA miR
chr11,97744897,97745035,miRNA_primary_transcript,Name=mmu-mir-8102,+,Alias=MI0026032,no host mRNA miR
chr12,35194811,35194897,miRNA_primary_transcript,Name=mmu-mir-680-3,-,Alias=MI0004642,no host mRNA miR
chr12,36816205,36816278,miRNA_primary_transcript,Name=mmu-mir-5099,+,Alias=MI0018007,no host mRNA miR
chr12,44210313,44210373,miRNA_primary_transcript,Name=mmu-mir-5627,+,Alias=MI0019198,no host mRNA miR
chr12,76533134,76533212,miRNA_primary_transcript,Name=mmu-mir-5135,-,Alias=MI0018047,no host mRNA miR
chr12,93927338,93927464,miRNA_primary_transcript,Name=mmu-mir-8099-2,+,Alias=MI0026053,no host mRNA miR
chr12,108836973,108837068,miRNA_primary_transcript,Name=mmu-mir-345,+,Alias=MI0000632,no host mRNA miR
chr12,109682197,109682273,miRNA_primary_transcript,Name=mmu-mir-882,+,Alias=MI0005475,no host mRNA miR
chr12,109709060,109709125,miRNA_primary_transcript,Name=mmu-mir-379,+,Alias=MI0000796,no host mRNA miR
chr12,109710175,109710256,miRNA_primary_transcript,Name=mmu-mir-411,+,Alias=MI0001163,no host mRNA miR
chr12,109710638,109710700,miRNA_primary_transcript,Name=mmu-mir-299a,+,Alias=MI0000399,no host mRNA miR
chr12,109710645,109710693,miRNA_primary_transcript,Name=mmu-mir-299b,-,Alias=MI0019180,no host mRNA miR
chr12,109711803,109711863,miRNA_primary_transcript,Name=mmu-mir-380,+,Alias=MI0000797,no host mRNA miR
chr12,109712317,109712436,miRNA_primary_transcript,Name=mmu-mir-1197,+,Alias=MI0006305,no host mRNA miR
chr12,109712508,109712593,miRNA_primary_transcript,Name=mmu-mir-323,+,Alias=MI0000592,no host mRNA miR
chr12,109712810,109712890,miRNA_primary_transcript,Name=mmu-mir-758,+,Alias=MI0004129,no host mRNA miR
chr12,109713481,109713577,miRNA_primary_transcript,Name=mmu-mir-329,+,Alias=MI0000605,no host mRNA miR
chr12,109715318,109715402,miRNA_primary_transcript,Name=mmu-mir-494,+,Alias=MI0003532,no host mRNA miR
chr12,109715577,109715650,miRNA_primary_transcript,Name=mmu-mir-679,+,Alias=MI0004638,no host mRNA miR
chr12,109715671,109715791,miRNA_primary_transcript,Name=mmu-mir-1193,+,Alias=MI0006298,no host mRNA miR
chr12,109717085,109717183,miRNA_primary_transcript,Name=mmu-mir-666,+,Alias=MI0004553,no host mRNA miR
chr12,109717258,109717333,miRNA_primary_transcript,Name=mmu-mir-543,+,Alias=MI0003519,no host mRNA miR
chr12,109718754,109718816,miRNA_primary_transcript,Name=mmu-mir-495,+,Alias=MI0004639,no host mRNA miR
chr12,109720006,109720097,miRNA_primary_transcript,Name=mmu-mir-667,+,Alias=MI0004196,no host mRNA miR
chr12,109722718,109722803,miRNA_primary_transcript,Name=mmu-mir-376c,+,Alias=MI0003533,no host mRNA miR
chr12,109723218,109723301,miRNA_primary_transcript,Name=mmu-mir-654,+,Alias=MI0005520,no host mRNA miR
chr12,109723458,109723539,miRNA_primary_transcript,Name=mmu-mir-376b,+,Alias=MI0001162,no host mRNA miR
chr12,109723781,109723848,miRNA_primary_transcript,Name=mmu-mir-376a,+,Alias=MI0000793,no host mRNA miR
chr12,109724313,109724391,miRNA_primary_transcript,Name=mmu-mir-300,+,Alias=MI0000400,no host mRNA miR
chr12,109726822,109726896,miRNA_primary_transcript,Name=mmu-mir-381,+,Alias=MI0000798,no host mRNA miR
chr12,109727333,109727414,miRNA_primary_transcript,Name=mmu-mir-487b,+,Alias=MI0003534,no host mRNA miR
chr12,109728129,109728202,miRNA_primary_transcript,Name=mmu-mir-539,+,Alias=MI0003520,no host mRNA miR
chr12,109729325,109729402,miRNA_primary_transcript,Name=mmu-mir-544,+,Alias=MI0005555,no host mRNA miR
chr12,109733771,109733846,miRNA_primary_transcript,Name=mmu-mir-382,+,Alias=MI0000799,no host mRNA miR
chr12,109734139,109734209,miRNA_primary_transcript,Name=mmu-mir-134,+,Alias=MI0000160,no host mRNA miR
chr12,109734732,109734797,miRNA_primary_transcript,Name=mmu-mir-668,+,Alias=MI0004134,no host mRNA miR
chr12,109734902,109734974,miRNA_primary_transcript,Name=mmu-mir-485,+,Alias=MI0003492,no host mRNA miR
chr12,114469407,114469466,miRNA_primary_transcript,Name=mmu-mir-7094-1,-,Alias=MI0022944,no host mRNA miR
chr12,114513635,114513694,miRNA_primary_transcript,Name=mmu-mir-7094-2,-,Alias=MI0022945,no host mRNA miR
chr12,115695720,115695794,miRNA_primary_transcript,Name=mmu-mir-6388,-,Alias=MI0021920,no host mRNA miR
chr13,21896918,21897049,miRNA_primary_transcript,Name=mmu-mir-1983,-,Alias=MI0009990,no host mRNA miR
chr13,48536012,48536114,miRNA_primary_transcript,Name=mmu-let-7d,-,Alias=MI0000405,no host mRNA miR
chr13,48537829,48537917,miRNA_primary_transcript,Name=mmu-let-7f-1,-,Alias=MI0000562,no host mRNA miR
chr13,48538179,48538272,miRNA_primary_transcript,Name=mmu-let-7a-1,-,Alias=MI0000556,no host mRNA miR
chr13,50544626,50544734,miRNA_primary_transcript,Name=mmu-mir-683-1,-,Alias=MI0004646,no host mRNA miR
chr13,50600972,50601080,miRNA_primary_transcript,Name=mmu-mir-683-2,-,Alias=MI0010690,no host mRNA miR
chr13,71107089,71107209,miRNA_primary_transcript,Name=mmu-mir-466f-4,+,Alias=MI0006291,no host mRNA miR
chr13,74407065,74407173,miRNA_primary_transcript,Name=mmu-mir-692-3,+,Alias=MI0023541,no host mRNA miR
chr13,75645046,75645141,miRNA_primary_transcript,Name=mmu-mir-682,+,Alias=MI0004644,no host mRNA miR
chr13,82698275,82698333,miRNA_primary_transcript,Name=mmu-mir-3961,-,Alias=MI0016965,no host mRNA miR
chr14,11282477,11282561,miRNA_primary_transcript,Name=mmu-mir-5124b,+,Alias=MI0021921,no host mRNA miR
chr14,24088877,24088930,miRNA_primary_transcript,Name=mmu-mir-7210,+,Alias=MI0023705,no host mRNA miR
chr14,70443510,70443591,miRNA_primary_transcript,Name=mmu-mir-320,+,Alias=MI0000704,no host mRNA miR
chr14,78191373,78191478,miRNA_primary_transcript,Name=mmu-mir-1971,-,Alias=MI0009970,no host mRNA miR
chr14,79738431,79738528,miRNA_primary_transcript,Name=mmu-mir-759,+,Alias=MI0004554,no host mRNA miR
chr14,115043671,115043754,miRNA_primary_transcript,Name=mmu-mir-17,+,Alias=MI0000687,no host mRNA miR
chr14,115043851,115043946,miRNA_primary_transcript,Name=mmu-mir-18a,+,Alias=MI0000567,no host mRNA miR
chr14,115044000,115044081,miRNA_primary_transcript,Name=mmu-mir-19a,+,Alias=MI0000688,no host mRNA miR
chr14,115044157,115044263,miRNA_primary_transcript,Name=mmu-mir-20a,+,Alias=MI0000568,no host mRNA miR
chr15,29713331,29713404,miRNA_primary_transcript,Name=mmu-mir-3964,-,Alias=MI0016970,no host mRNA miR
chr15,68337415,68337510,miRNA_primary_transcript,Name=mmu-mir-30b,-,Alias=MI0000145,no host mRNA miR
chr15,68341208,68341289,miRNA_primary_transcript,Name=mmu-mir-30d,-,Alias=MI0000549,no host mRNA miR
chr15,87795850,87795943,miRNA_primary_transcript,Name=mmu-mir-6393,-,Alias=MI0021927,no host mRNA miR
chr15,102671792,102671866,miRNA_primary_transcript,Name=mmu-mir-688,-,Alias=MI0004653,no host mRNA miR
chr15,102973350,102973434,miRNA_primary_transcript,Name=mmu-mir-196a-2,+,Alias=MI0000553,no host mRNA miR
chr16,11254368,11254445,miRNA_primary_transcript,Name=mmu-mir-1945,-,Alias=MI0009934,no host mRNA miR
chr16,14159626,14159692,miRNA_primary_transcript,Name=mmu-mir-484,+,Alias=MI0003491,no host mRNA miR
chr16,18165089,18165170,miRNA_primary_transcript,Name=mmu-mir-6366,-,Alias=MI0021895,no host mRNA miR
chr16,32267450,32267583,miRNA_primary_transcript,Name=mmu-mir-1946a,-,Alias=MI0009936,no host mRNA miR
chr16,77598936,77599000,miRNA_primary_transcript,Name=mmu-mir-99a,+,Alias=MI0000146,no host mRNA miR
