© 2000-2024 QIAGEN. All rights reserved.

Symbol	Entrez Gene Name	RefSeq/Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Location	Type(s)	Biomarker Application(s)	Drug(s)	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
ADAMTSL4	ADAMTS like 4	XM_047422823.1	Extracellular Space	other			54507	229595	310670
ADGRB2	adhesion G protein-coupled receptor B2	XM_047426188.1	Plasma Membrane	G-protein coupled receptor			576	230775	313058
AEN	apoptosis enhancing nuclease	XM_017022489.2	Nucleus	enzyme			64782	68048	361594
ANKRD54	ankyrin repeat domain 54	XM_011529877.3	Nucleus	transcription regulator			129138	223690	362957
AOPEP	aminopeptidase O (putative)	XM_047423978.1	Cytoplasm	peptidase			84909	72061	290963
ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	NM_005744.5	Cytoplasm	enzyme			25820	23806	300756
ATF5	activating transcription factor 5	NM_012068.6	Nucleus	transcription regulator			22809	107503	282840
B2M	beta-2-microglobulin	NM_004048.4	Plasma Membrane	transmembrane receptor	disease progression,efficacy,safety,unspecified application	4'-iodo-4'-deoxydoxorubicin	567	12010	24223
C15orf48	chromosome 15 open reading frame 48	NM_197955.3	Nucleus	other			84419	433470	302884
CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	NM_031895.6	Plasma Membrane	ion channel			59283	81905	140729
CAPN15	calpain 15	XM_047434534.1	Other	peptidase			6650	50817	303000
CBX5	chromobox 5	NM_012117.3	Nucleus	transcription regulator			23468	12419	300266
CCDC186	coiled-coil domain containing 186	NM_018017.4	Cytoplasm	other			55088	213993	361773
CCNYL1	cyclin Y like 1	NM_152523.3	Plasma Membrane	other			151195	227210	316452
CDC37	cell division cycle 37, HSP90 cochaperone	NM_007065.4	Cytoplasm	other			11140	12539	114562
CEP170B	centrosomal protein 170B	NM_015005.3	Other	other			283638	217882	500726
CHPF2	chondroitin polymerizing factor 2	NM_001389653.1	Cytoplasm	enzyme			54480	100910	296733
COP1	COP1 E3 ubiquitin ligase	XM_047427799.1	Cytoplasm	enzyme			64326	26374	360860
DGCR8	DGCR8 microprocessor complex subunit	XM_047441419.1	Nucleus	enzyme			54487	94223	287954
DOCK3	dedicator of cytokinesis 3	XM_047447599.1	Cytoplasm	other			1795	208869	315992
EHD1	EH domain containing 1	NM_006795.4	Cytoplasm	other			10938	13660	293692
FADS1	fatty acid desaturase 1	XM_011545022.3	Plasma Membrane	enzyme	unspecified application		3992	76267	84575
FAM172A	family with sequence similarity 172 member A	XM_017009955.2	Cytoplasm	transcription regulator			83989	68675	294606
FAM89A	family with sequence similarity 89 member A	NM_198552.3	Other	other			375061	69627	361441
FSTL1	follistatin like 1	NM_007085.5	Extracellular Space	other			11167	14314	79210
FUT8	fucosyltransferase 8	XM_047431180.1	Cytoplasm	enzyme			2530	53618	432392
FXYD3	FXYD domain containing ion transport regulator 3	NM_001387354.1	Plasma Membrane	ion channel	diagnosis		5349	17178	116831
FZD8	frizzled class receptor 8	NM_031866.3	Plasma Membrane	G-protein coupled receptor		vantictumab	8325	14370	364754
GAN	gigaxonin	NM_001377486.1	Cytoplasm	other			8139	209239	307893
GNAI3	G protein subunit alpha i3	NM_006496.4	Cytoplasm	enzyme			2773	14679	25643
GPC1	glypican 1	XM_047443961.1	Plasma Membrane	transmembrane receptor			2817	14733	58920
GPRC5A	G protein-coupled receptor class C group 5 member A	NM_003979.4	Plasma Membrane	G-protein coupled receptor			9052	232431	312790
HAUS4	HAUS augmin like complex subunit 4	NM_001166269.2	Cytoplasm	other			54930	219072	305882
HEATR6	HEAT repeat containing 6	NM_022070.5	Other	other			63897	217026	497972
HOXD1	homeobox D1	NM_024501.3	Nucleus	transcription regulator			3231	15429	288151
HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1	XM_047437228.1	Cytoplasm	enzyme			9955	15478	363618
HSP90B1	heat shock protein 90 beta family member 1	NM_003299.3	Cytoplasm	other		alvespimycin,cisplatin,retaspimycin	7184	22027	362862
IGSF9B	immunoglobulin superfamily member 9B	NM_001277285.4	Plasma Membrane	other			22997	235086	315510
IRAK3	interleukin 1 receptor associated kinase 3	NM_001142523.2	Cytoplasm	kinase			11213	73914	314870
LOC124901780	uncharacterized LOC124901780	XM_047421163.1	Other	other			124901780	 	 
LOC124902361	uncharacterized LOC124902361	XM_047426106.1	Other	other			124902361	 	 
LOC124903407	mucin-2-like	XM_047432049.1	Other	other			124903407	 	 
LOC124904228	uncharacterized LOC124904228	XM_047437906.1	Other	other			124904228	 	 
